,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
167,1316990,0.53,True,Centrum-West,52.38,4.887,Entire home/apt,4,2,2,8,196.0,7,180,True,2,2,4.82,False,49.0,1372.0,0.06,0.17,0.19,4.99,0.07945205479452055,913.082191780822
168,1320353,0.25,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,1,110.0,7,180,True,12,0,4.9,False,55.0,770.0,0.07,0.14,0.18,4.99,0.684931506849315,566.986301369863
169,1320438,0.17,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,11,125.0,7,180,True,4,0,4.88,False,62.5,875.0,0.05,0.15,0.18,4.99,0.6904109589041096,625.0
170,1321735,0.62,True,Centrum-West,52.38,4.887,Entire home/apt,3,2,2,6,160.0,7,180,True,10,0,4.62,False,53.34,1120.0,0.07,0.14,0.19,4.99,0.6465753424657534,540.3013698630137
171,1331157,0.29,False,IJburg - Zeeburgereiland,52.34,5.008,Entire home/apt,4,2,3,9,193.0,3,14,True,0,0,4.87,False,48.25,579.0,0.08,0.18,0.2,4.99,0.4410958904109589,963.013698630137
172,1338633,0.38,False,Oud-Noord,52.4,4.945,Private room,1,1,1,5,59.0,4,5,True,1,1,4.19,False,59.0,236.0,0.06,0.14,0.16,2.99,0.2876712328767123,295.0
173,1354077,0.0,False,Centrum-Oost,52.38,4.902,Entire home/apt,4,2,2,5,135.0,3,1125,True,0,0,4.43,False,33.75,405.0,0.07,0.15,0.2,4.99,0.0,675.0
174,1364013,0.27,False,De Baarsjes - Oud-West,52.38,4.85,Entire home/apt,4,2,4,5,111.0,4,23,True,14,0,4.7,False,27.75,444.0,0.05,0.16,0.19,4.99,0.4547945205479452,591.986301369863
175,1366058,0.56,False,Oud-Noord,52.38,4.914,Entire home/apt,4,2,2,9,159.0,5,29,True,0,0,4.83,False,39.75,795.0,0.08,0.12,0.19,4.99,0.0,792.7397260273973
176,1375601,0.67,False,De Baarsjes - Oud-West,52.38,4.86,Private room,2,1,1,6,187.0,3,365,True,5,2,5.0,False,93.5,561.0,0.08,0.24,0.23,4.99,0.09917355371900827,933.6914600550964
